,Name,Price,Category,Lighting_Conditions,Longevity,Average_Height,Uses,Imagen
622,Baptisia tinctoria, $5.00 ,Potted Plants,PS - FS,HP (zones 3 - 9),2 - 3 FEET,B D M N O R,http://companionplants.com/catalog/images/thumbs/Passiflora%20incarnata.jpg
623,Stapelia gigantea, $5.00 ,Cacti/Succulents,FS,TP,"8 - 10 inches tall, spreads to 3 feet",O,http://companionplants.com/catalog/images/thumbs/Stapelia%20gigantea.jpg
624,Arisaema draconitum, $6.00 ,Potted Plants,Shade to partial sun,HP zones 3 - 9,2 - 3 Feet,O L N,http://companionplants.com/catalog/images/thumbs/July%2014%202012%20019.jpg
625,Amorphophallus konjac, $6.50 ,Potted Plants,PS,TP,3 TO 4 FEET,M O,http://companionplants.com/catalog/images/thumbs/Amorphaphallus%20konjac.jpg
626,Typhonium giganteum, $10.00 ,Potted Plants,Full sun to part shade,TP - zones 7 - 9,2 FEET,O M,http://companionplants.com/catalog/images/thumbs/Typhonium%20giganteum.jpg
627,Pinellia tripartita 'Golden Dragon', $8.00 ,Potted Plants,part shade,Tender perennial zones 7 - 9,14 inches,O,http://companionplants.com/catalog/images/thumbs/Typhonium%20giganteum.jpg
628,Crassula ovata, $5.00 ,Cacti/Succulents,FS - PS,TP,2 - 3 Feet(in containers),M O,http://companionplants.com/catalog/images/thumbs/Crassula%20ovata.jpg
629,Crassula ovata 'Gollum', $5.00 ,Cacti/Succulents,FS - PS,TP,2 3 FEET,O M,http://companionplants.com/catalog/images/thumbs/Crassula%20ovata.jpg
630,Crassula ovata 'Shrek's Ears', $5.00 ,Cacti/Succulents,FS - PS,TP,2 - 3 FEET,O M,http://companionplants.com/catalog/images/thumbs/Crassula%20ovata.jpg
631,Crassula ovata 'Variegata', $5.00 ,Cacti/Succulents,FS - PS,TP,2 - 3 FEET,O M,http://companionplants.com/catalog/images/thumbs/Crassula%20ovata.jpg
632,Datura metel, $3.50 ,Seeds,FS,TP,4 Feet,M O,http://companionplants.com/catalog/images/thumbs/Crassula%20ovata.jpg
633,Datura metel 'Double Black' seeds, $3.50 ,Seeds,FS,TP,4 Feet,M O,http://companionplants.com/catalog/images/thumbs/Crassula%20ovata.jpg
634,Stachys affinis  Tubers, $10.00 ,Seeds,FS,HP,"18""",C,http://companionplants.com/catalog/images/thumbs/Stachys%20affinis%20tubers.jpg
635,Poncirus trifoliata 'Flying Dragon', $7.00 ,Potted Plants,FS - PS,TP,8 Feet,C O,http://companionplants.com/catalog/images/thumbs/Stachys%20affinis%20tubers.jpg
636,Jeffersonia diphylla, $5.00 ,Potted Plants,Sh,HP,"10""",M N O,http://companionplants.com/catalog/images/thumbs/Jeffersonia%20diphylla.jpg
637,Lavandula x intermedia 'Phenomenal', $6.00 ,Potted Plants,FS,HP (zones 5 - 10),"30""",A B C H M O R,http://companionplants.com/catalog/images/thumbs/Jeffersonia%20diphylla.jpg
638,Lavandula viridis, $6.00 ,Potted Plants,FS,TP,"30""",A M O R,http://companionplants.com/catalog/images/thumbs/07-30-14%20032.JPG
639,Huernia zebrina, $5.00 ,Cacti/Succulents,FS,TP,"8""",O,http://companionplants.com/catalog/images/thumbs/Huernia%20zebrina.jpg
640,Capparis spinosa, $6.50 ,Potted Plants,FS,TP,3 feet x 6 feet,C M O,http://companionplants.com/catalog/images/thumbs/Caperis%20spinosa.JPG
641,Vitex negundo var heterophylla, $6.00 ,Potted Plants,FS - PS,HP,10 Feet,B H M O,http://companionplants.com/catalog/images/thumbs/Caperis%20spinosa.JPG
642,Lycium barbarum, $6.00 ,Potted Plants,FS,HP(zones 3 - 10),5 FEET,C M,http://companionplants.com/catalog/images/thumbs/Lycium%20barbarum.jpg
643,Asimina triloba, $8.00 ,Potted Plants,FS - PS,HP(zones 5 - 10),to 35 Feet,C M,http://companionplants.com/catalog/images/thumbs/Lycium%20barbarum.jpg
644,Portulaca oleracea, $3.50 ,Seeds,FS,Annual,12 inches,C M,http://companionplants.com/catalog/images/thumbs/10-07-14%20001.JPG
645,Psychotria albacarthagenesis, $20.00 ,Potted Plants,PS,TP,to 15 Feet,M L,http://companionplants.com/catalog/images/thumbs/10-07-14%20004.JPG
646,Ledebouria socialis, $5.00 ,Cacti/Succulents,PS,TP,"6""",M O,http://companionplants.com/catalog/images/thumbs/07-12-14%20014.JPG
647,Achyranthes bidentata, $3.50 ,Seeds,PS - FS,HP (zone 5),3 Feet,M,http://companionplants.com/catalog/images/thumbs/Achyranthus%20bidetata.JPG
648,Vitex negundo var heterophylla, $3.50 ,Seeds,PS - FS,HP,10 Feet,B H M O,http://companionplants.com/catalog/images/thumbs/Vitex%20negundo%20var.%20heterophylla%20Lace%20Leaf.JPG
649,Glycyrrhiza echinata, $6.00 ,Potted Plants,FS,HP,6 FEET,C M,http://companionplants.com/catalog/images/thumbs/Glycorrhiza%20echinata.jpg
650,Hydrastis canadensis, $5.00 ,Potted Plants,sh,HP,"12""",D M N,http://companionplants.com/catalog/images/thumbs/Hydrastis%20canadensis.jpg
651,Podophyllum peltatum, $5.00 ,Potted Plants,Sh to FS,HP,"18""",M N O,http://companionplants.com/catalog/images/thumbs/Photo_Unavail.JPG
652,Polemonium reptans, $5.00 ,Potted Plants,SH - PS,HP (zones 3 - 8),"12""",M N O,http://companionplants.com/catalog/images/thumbs/Photo_Unavail.JPG
653,Citrus hystrix, $12.00 ,Potted Plants,FS,TP,25 Feet,A C M,http://companionplants.com/catalog/images/thumbs/05-28-15%20006.JPG
654,Ilex paraguariensis, $18.00 ,Potted Plants,FS,TP,45 feet,C M,http://companionplants.com/catalog/images/thumbs/05-28-15%20009.JPG
655,Gynostemma pentaphyllum, $10.00 ,Potted Plants,PS - FS,HP(zone 5),Climbing vine,M O,http://companionplants.com/catalog/images/thumbs/05-28-15%20005.JPG
656,Lavandula viridis, $3.50 ,Seeds,FS,TP,30 inches,A M O R,http://companionplants.com/catalog/images/thumbs/Lavandula%20viridis.JPG
657,Azadarachta indica, $16.00 ,Potted Plants,FS,TP,to 50 feet,M O R,http://companionplants.com/catalog/images/thumbs/07-28-2016%20005.JPG
658,Ocimum x 'GREEK LESBOS, $5.00 ,Potted Plants,FS,TP,3 Feet,A C M O,http://companionplants.com/catalog/images/thumbs/07-28-2016%20007.JPG
659,Chenopodium ambrodiodes var, $3.50 ,Seeds,Full sun,Annual,3 feet,A C M O,http://companionplants.com/catalog/images/thumbs/11-03-15%20023.JPG
660,Moringa oleifera, $10.00 ,Potted Plants,FS,TP,20 - 30 FEET,C M O,http://companionplants.com/catalog/images/thumbs/06-26-17%20010.JPG
661,Scutellaria baicalensis, $5.00 ,Potted Plants,FS - PS,HP,"18""",M O,http://companionplants.com/catalog/images/thumbs/06-26-17%20009.JPG
662,Lippia micromera, $5.00 ,Potted Plants,FS - PS,TP,4 Feet,A C M,http://companionplants.com/catalog/images/thumbs/Photo_Unavail.JPG
663,Origanum sp, $5.00 ,Potted Plants,FS,HP,"18""",A C M O,http://companionplants.com/catalog/images/thumbs/Photo_Unavail.JPG
664,Ocimum canum, $3.50 ,Seeds,FS,Annual,"20""","M, O",http://companionplants.com/catalog/images/thumbs/Photo_Unavail.JPG
665,Bacopa monnieri, $5.75 ,Potted Plants,PS - FS,TP,"12""",C M O,http://companionplants.com/catalog/images/thumbs/Photo_Unavail.JPG
666,Anemopsis californica, $5.75 ,Potted Plants,FS,HP,"12""",M O,http://companionplants.com/catalog/images/thumbs/06-26-17%20007.JPG
667,Anadenanthera colubrina, $18.00 ,Potted Plants,FS - PS,TP,15 - 50 feet,L M,http://companionplants.com/catalog/images/thumbs/Anadenanthera%20columbrina.jpg
668,Lycopus europeaus, $3.50 ,Seeds,PS - FS,HP - zones 4 - 8,3 feet,A D M,http://companionplants.com/catalog/images/thumbs/Lycopus%20europeaus.jpg
669,Ocimum sp, $5.00 ,Potted Plants,FS,A - TP,20 INCHES,A C M O,http://companionplants.com/catalog/images/thumbs/Lycopus%20europeaus.jpg
670,Pycnanthemum virginianum, $5.00 ,Potted Plants,FS - PS,HP - TO ZONE 3,3 FEET,A C M N O,http://companionplants.com/catalog/images/thumbs/Lycopus%20europeaus.jpg
