,Name,Price,Category,Lighting_Conditions,Longevity,Average_Height,Uses,Imagen
367,Ocimum 'African Blue', $5.00 ,Potted Plants,FS,TP,3 feet,A C H O,http://companionplants.com/catalog/images/plants%20032.jpg
368,Onopordon acanthium, $5.00 ,Potted Plants,FS,AB (zones 6 to 9),to 8 feet,C M O,http://companionplants.com/catalog/images/thumbs/Scotch%20Thistle.jpg
369,Origanum heracleoticum, $5.00 ,Potted Plants,FS,HP (zones 5 to 9),18 inches,A C H M,http://companionplants.com/catalog/images/thumbs/Origanum%20heracleoticum.jpg
370,Origanum majorana, $5.00 ,Potted Plants,FS,TP (zones 6 to 9),12 inches,A C M,http://companionplants.com/catalog/images/thumbs/7-21-12%20003.jpg
371,Origanum sp 'Kaliteri', $5.00 ,Potted Plants,FS,HP (zones 6 to 11),3 feet,C O,http://companionplants.com/catalog/images/thumbs/7-21-12%20003.jpg
372,Pelargonium sp, $5.00 ,Potted Plants,PS-FS,TP,3 feet,A C O,http://companionplants.com/catalog/images/thumbs/Snowflake%20Geranium.jpg
373,Pelargonium tomentosum, $5.00 ,Potted Plants,PS-FS,TP,3 feet,A C O,http://companionplants.com/catalog/images/thumbs/7-19-09%20048.jpg
374,Petroselinum crispum 'Neopolitanum', $4.85 ,Potted Plants,PS-FS,B (zones 5 - 9),10 inches,B C M,http://companionplants.com/catalog/images/Photo_Unavail.jpg
375,Petroselinum crispum, $4.85 ,Potted Plants,FS,B (zones 5 to 9),7 inches,C M,http://companionplants.com/catalog/images/Photo_Unavail.jpg
376,Phalaris arundinacea, $8.00 ,Potted Plants,PS-FS,HP,7 feet,L N,http://companionplants.com/catalog/images/Photo_Unavail.jpg
377,Polygonum sp odoratum, $5.00 ,Potted Plants,PS-FS,TP,18 inches,A C,http://companionplants.com/catalog/images/thumbs/Polygonum%20odorata.jpg
378,Polygonum tinctorium, $5.00 ,Potted Plants,PS-FS,A,3 feet,D,http://companionplants.com/catalog/images/thumbs/Polygonum%20tinctorium.jpg
379,Pycnanthemum tenuifolium, $5.00 ,Potted Plants,FS,HP (zones 5 to 10),3 feet,A C E H M N O,http://companionplants.com/catalog/images/Pycnanthemum%20tenuifolium.jpg
380,Rosmarinus officinalis 'Alba', $5.25 ,Potted Plants,FS,TP,4 feet,A C O,http://companionplants.com/catalog/images/thumbs/gotu%20kola%20044.jpg
381,Rosmarinus officinalis 'Blue Boy', $5.00 ,Potted Plants,FS,TP,18 inches,A C O,"http://companionplants.com/catalog/images/thumbs/Rosemary,%20Blue%20Boy.jpg"
382,Rosmarinus officinalis 'Blue Spire', $5.00 ,Potted Plants,FS,TP,4 feet,A C O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
383,Salvia clevelandii, $6.00 ,Potted Plants,FS,TP-HP (zones 8 to 10),4 feet,A B C M O,http://companionplants.com/catalog/images/thumbs/7-20-12%20008.jpg
384,Salvia elegans, $5.00 ,Potted Plants,FS,TP (zones 8 to 10),4 feet,A B C M O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
385,Salvia lavandulifolia, $6.00 ,Potted Plants,FS,HP (zones 5 to 9),20 inches,A C M O,http://companionplants.com/catalog/images/thumbs/Salvia%20lavandulifolia.jpg
